"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1734","User login with wrong email or password","LMS system","Sun May 04 08:16:46 GMT 2025","passed","Sun May 04 08:16:48 GMT 2025","Authorization","Authentication","",""
"","1528","Check displaying of empty courses list","LMS system","Sun May 04 08:16:58 GMT 2025","passed","Sun May 04 08:17:00 GMT 2025","Courses","Courses","",""
"","4297","Create course","LMS system","Sun May 04 08:17:04 GMT 2025","passed","Sun May 04 08:17:09 GMT 2025","Courses","Courses","",""
"","2114","Registration with correct email, username and password","LMS system","Sun May 04 08:16:54 GMT 2025","passed","Sun May 04 08:16:56 GMT 2025","Registration","Authentication","",""
"","2724","User login with wrong email or password","LMS system","Sun May 04 08:16:52 GMT 2025","passed","Sun May 04 08:16:55 GMT 2025","Authorization","Authentication","",""
"","3424","User login with correct email and password","LMS system","Sun May 04 08:16:37 GMT 2025","passed","Sun May 04 08:16:41 GMT 2025","Authorization","Authentication","",""
"","3439","Edit course","LMS system","Sun May 04 08:17:03 GMT 2025","passed","Sun May 04 08:17:07 GMT 2025","Courses","Courses","",""
"","1939","Check displaying of dashboard page","LMS system","Sun May 04 08:17:15 GMT 2025","passed","Sun May 04 08:17:17 GMT 2025","Dashboard","Dashboard","",""
"","1567","User login with wrong email or password","LMS system","Sun May 04 08:16:49 GMT 2025","passed","Sun May 04 08:16:50 GMT 2025","Authorization","Authentication","",""
"","1794","Check displaying of empty courses list","LMS system","Sun May 04 08:17:02 GMT 2025","passed","Sun May 04 08:17:03 GMT 2025","Courses","Courses","",""
"","2545","User login with wrong email or password","LMS system","Sun May 04 08:16:51 GMT 2025","passed","Sun May 04 08:16:53 GMT 2025","Authorization","Authentication","",""
"","2015","Check displaying of dashboard page","LMS system","Sun May 04 08:17:09 GMT 2025","passed","Sun May 04 08:17:11 GMT 2025","Dashboard","Dashboard","",""
"","1870","User login with wrong email or password","LMS system","Sun May 04 08:16:44 GMT 2025","passed","Sun May 04 08:16:46 GMT 2025","Authorization","Authentication","",""
"","2313","User login with wrong email or password","LMS system","Sun May 04 08:16:49 GMT 2025","passed","Sun May 04 08:16:51 GMT 2025","Authorization","Authentication","",""
"","6137","Edit course","LMS system","Sun May 04 08:17:08 GMT 2025","passed","Sun May 04 08:17:14 GMT 2025","Courses","Courses","",""
"","6542","User login with correct email and password","LMS system","Sun May 04 08:16:42 GMT 2025","passed","Sun May 04 08:16:48 GMT 2025","Authorization","Authentication","",""
"","2738","Create course","LMS system","Sun May 04 08:17:00 GMT 2025","passed","Sun May 04 08:17:03 GMT 2025","Courses","Courses","",""
"","3308","Registration with correct email, username and password","LMS system","Sun May 04 08:16:55 GMT 2025","passed","Sun May 04 08:16:59 GMT 2025","Registration","Authentication","",""
"","1875","Navigation from login page to registration page","LMS system","Sun May 04 08:16:37 GMT 2025","passed","Sun May 04 08:16:39 GMT 2025","Authorization","Authentication","",""
"","1883","Navigation from login page to registration page","LMS system","Sun May 04 08:16:42 GMT 2025","passed","Sun May 04 08:16:44 GMT 2025","Authorization","Authentication","",""
